agent,benchmark,instance_id,resolved,source_code_files,source_code_tokens,write_recall,write_precision,read_recall,read_precision,total_operations,total_reads,total_writes,unique_files_read,unique_files_written,unique_dirs,max_depth,first_write_at,reread_rate,churn_rate,conversion_rate,first_correct_read,first_correct_write,subagent_count
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15499,True,2847,3829177,1.0,0.5,1.0,0.5,17,10,2,2,2,6,4,13,0.8,0.0,1.0,1,13,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15503,True,2847,3829581,1.0,0.5,1.0,0.3333,33,17,4,3,2,6,4,14,0.8235,0.5,1.0,2,14,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15525,True,2847,3831584,1.0,0.3333,1.0,0.1667,29,13,6,6,3,9,4,6,0.5385,0.5,1.0,0,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15554,True,2847,3834489,1.0,0.3333,1.0,0.1667,58,30,12,6,3,6,4,19,0.8,0.75,1.0,3,21,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15561,True,2848,3841363,0.5,0.5,1.0,0.1333,87,51,2,15,2,19,6,80,0.7059,0.0,0.5,6,80,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15563,False,2848,3842358,1.0,0.5,1.0,0.2857,30,14,5,7,4,6,4,18,0.5,0.2,1.0,2,18,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15569,True,2848,3843826,1.0,0.5,1.0,0.2,19,10,2,5,2,8,4,14,0.5,0.0,1.0,0,14,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15572,True,2848,3842640,1.0,0.5,1.0,0.3333,11,5,3,3,2,5,3,3,0.4,0.3333,1.0,0,3,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15629,False,2854,3852505,0.25,0.5,0.5,0.1818,78,45,2,11,2,15,4,72,0.7556,0.0,0.5,17,72,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15695,False,2855,3869340,1.0,0.5,1.0,0.3333,24,14,2,3,2,8,4,20,0.7857,0.0,1.0,3,20,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15731,True,2855,3874243,1.0,1.0,1.0,1.0,6,3,2,1,1,3,3,1,0.6667,0.5,1.0,0,1,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15732,True,2855,3871759,1.0,0.5,1.0,0.1667,55,31,7,6,2,9,4,26,0.8065,0.7143,1.0,2,26,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15741,True,2855,3873253,1.0,1.0,1.0,1.0,5,1,2,1,1,2,2,1,0.0,0.5,1.0,0,1,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15814,True,2856,3883640,1.0,1.0,1.0,0.5,7,5,1,2,1,4,4,6,0.6,0.0,1.0,0,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15851,True,2864,3887404,1.0,0.5,1.0,0.5,10,4,2,2,2,7,4,2,0.5,0.0,1.0,1,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15863,True,2860,3910084,1.0,1.0,1.0,1.0,10,4,3,1,1,2,2,4,0.75,0.6667,1.0,2,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15916,False,2857,3891554,1.0,0.5,1.0,0.5,13,5,3,2,2,4,2,8,0.6,0.3333,1.0,2,8,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15930,True,2857,3891829,1.0,0.5,1.0,0.1111,77,41,2,9,2,7,4,69,0.7805,0.0,1.0,3,69,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15957,True,2857,3896079,0.0,0.0,1.0,0.1429,78,47,2,7,2,13,4,66,0.8511,0.0,0.0,30,,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15973,True,2857,3898124,1.0,0.5,1.0,0.0909,110,62,4,11,2,11,4,83,0.8226,0.5,1.0,77,83,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-15987,True,2857,3897441,1.0,0.5,1.0,0.5,10,5,2,2,2,6,4,6,0.6,0.0,1.0,1,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16032,True,2859,3904257,0.5,0.5,0.5,0.1429,109,59,4,7,2,8,4,87,0.8814,0.5,1.0,14,87,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16082,True,2860,3907692,1.0,0.5,1.0,0.3333,18,8,2,3,2,6,4,7,0.625,0.0,1.0,2,7,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16100,True,2860,3909508,1.0,1.0,1.0,1.0,13,7,1,1,1,3,3,10,0.8571,0.0,1.0,2,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16116,True,2860,3907956,1.0,0.5,1.0,0.3333,23,12,3,3,2,6,4,8,0.75,0.3333,1.0,1,8,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16136,True,2860,3908579,1.0,1.0,1.0,1.0,12,1,1,1,1,3,3,10,0.0,0.0,1.0,0,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16139,True,2860,3911628,1.0,0.5,1.0,0.5,10,4,2,2,2,5,3,4,0.5,0.0,1.0,2,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16145,True,2860,3908802,1.0,0.5,1.0,0.5,16,7,4,2,2,6,4,7,0.7143,0.5,1.0,2,7,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16255,True,2859,3914502,1.0,1.0,1.0,1.0,2,1,1,1,1,3,3,1,0.0,0.0,1.0,0,1,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16256,False,2859,3914668,0.5,1.0,0.5,1.0,18,10,6,1,1,4,4,6,0.9,0.8333,1.0,0,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16263,False,2860,3917674,0.25,0.5,0.75,0.2727,180,108,7,11,2,7,4,122,0.8981,0.7143,0.3333,8,122,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16315,True,2863,3922202,0.5,0.3333,1.0,0.25,31,16,4,8,3,10,4,21,0.5,0.25,0.5,4,21,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16333,True,2863,3923290,1.0,0.5,1.0,0.3333,25,11,3,3,2,6,3,3,0.7273,0.3333,1.0,2,3,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16429,True,2868,3944049,1.0,0.5,1.0,0.5,6,2,2,2,2,4,2,2,0.0,0.0,1.0,0,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16454,False,2855,3921871,1.0,0.5,1.0,0.25,21,12,2,4,2,7,4,10,0.6667,0.0,1.0,2,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16485,True,2855,3919127,1.0,1.0,1.0,1.0,6,3,1,1,1,2,2,4,0.6667,0.0,1.0,1,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16493,True,2855,3919357,1.0,1.0,1.0,1.0,7,3,1,1,1,4,4,5,0.6667,0.0,1.0,1,5,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16502,False,2855,3919909,1.0,0.5,1.0,0.3333,13,7,2,3,2,5,3,4,0.5714,0.0,1.0,2,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16527,True,2856,3922237,1.0,0.5,1.0,0.25,20,10,2,4,2,6,4,8,0.6,0.0,1.0,0,8,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16560,True,2857,3929433,1.0,0.2857,1.0,0.2222,108,58,30,9,7,15,4,54,0.8448,0.7667,1.0,3,54,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16569,True,2857,3928079,1.0,1.0,1.0,1.0,4,1,1,1,1,2,2,2,0.0,0.0,1.0,1,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16595,True,2857,3931080,1.0,0.5,1.0,0.5,16,6,2,2,2,6,4,10,0.6667,0.0,1.0,2,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16612,True,2857,3931835,1.0,0.5,1.0,0.5,13,5,2,2,2,5,3,6,0.6,0.0,1.0,1,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16631,False,2857,3938036,1.0,1.0,1.0,0.2222,61,27,2,9,2,7,3,53,0.6667,0.0,1.0,4,53,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16642,True,2857,3939452,1.0,0.5,1.0,0.5,12,3,2,2,2,4,2,7,0.3333,0.0,1.0,2,7,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16661,True,2857,3944048,1.0,0.5,1.0,0.5,8,3,2,2,2,5,3,4,0.3333,0.0,1.0,2,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16662,True,2857,3941277,1.0,0.5,1.0,0.3333,15,7,2,3,2,5,3,6,0.5714,0.0,1.0,1,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16667,False,2857,3941528,1.0,1.0,1.0,1.0,6,2,2,1,1,2,2,1,0.5,0.5,0.0,2,1,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16801,True,2861,3981169,1.0,1.0,1.0,1.0,5,2,1,1,1,4,4,3,0.5,0.0,1.0,1,3,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16819,True,2861,3980842,1.0,0.5,1.0,0.125,48,29,5,8,2,6,4,29,0.7241,0.6,1.0,2,29,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16877,False,2862,3994584,1.0,0.25,1.0,0.25,31,14,4,4,4,9,3,27,0.7143,0.0,1.0,3,27,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16899,True,2864,3996374,1.0,0.5,1.0,0.5,18,6,4,2,2,5,3,6,0.6667,0.5,1.0,1,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16901,True,2865,3998430,1.0,1.0,1.0,0.2,24,11,1,5,1,6,4,18,0.5455,0.0,1.0,2,18,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16938,True,2864,3997044,1.0,0.5,1.0,0.1818,54,28,14,11,4,9,4,7,0.6071,0.7143,1.0,3,7,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-16950,True,2867,4011806,1.0,0.5,1.0,0.2,66,39,4,5,2,9,4,58,0.8718,0.5,1.0,1,58,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-17029,True,2867,4010246,1.0,1.0,1.0,1.0,6,2,1,1,1,3,2,4,0.5,0.0,1.0,2,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-17084,True,2864,4013298,1.0,0.5,1.0,0.1429,98,53,4,7,2,6,4,77,0.8679,0.5,1.0,5,77,1
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-17087,True,2864,4013081,1.0,0.5,1.0,0.5,19,9,3,2,2,5,3,5,0.7778,0.3333,1.0,2,5,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-7530,True,2401,3019057,1.0,1.0,1.0,0.25,13,7,1,4,1,7,4,8,0.4286,0.0,1.0,2,8,0
github-copilot-cli-claude-opus-4.6,swebench-verified,django__django-9296,True,2680,3315917,1.0,0.5,1.0,0.5,6,2,2,2,2,4,2,4,0.0,0.0,1.0,1,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-13989,True,1124,3582077,1.0,1.0,1.0,0.5,8,4,1,2,1,4,3,6,0.5,0.0,1.0,3,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-14623,True,1128,3590846,0.3333,1.0,0.6667,0.4,36,21,1,5,1,3,3,25,0.7619,0.0,0.5,2,25,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-20488,True,1121,2992017,1.0,1.0,1.0,0.3333,15,8,2,3,1,3,3,10,0.625,0.5,1.0,4,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-20676,False,1115,2995670,1.0,1.0,1.0,0.3333,36,20,4,3,1,3,3,24,0.85,0.75,1.0,2,24,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-20826,True,1120,3006662,0.0,0.0,0.0,0.0,68,38,3,6,1,3,3,54,0.8421,0.6667,0.0,,,1
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-20859,True,1120,3015112,1.0,1.0,1.0,0.5,13,6,3,2,1,2,2,8,0.6667,0.6667,1.0,0,8,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-21568,True,1132,3042094,1.0,0.5,1.0,0.25,72,39,3,4,2,4,3,31,0.8974,0.3333,1.0,2,67,1
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-22719,True,1138,3071679,1.0,1.0,1.0,0.3333,6,3,1,3,1,3,2,2,0.0,0.0,1.0,0,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-22865,True,1138,3077114,1.0,1.0,1.0,0.5,23,14,1,2,1,3,3,17,0.8571,0.0,1.0,1,17,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-22871,True,1138,3076903,1.0,1.0,1.0,1.0,7,3,1,1,1,2,2,5,0.6667,0.0,1.0,2,5,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-23299,False,1119,3068731,1.0,1.0,1.0,0.3333,19,10,1,3,1,2,2,17,0.7,0.0,1.0,3,17,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-23314,True,1123,3063386,1.0,1.0,1.0,0.5,6,3,1,2,1,5,3,4,0.3333,0.0,1.0,1,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-23412,True,1119,3069967,1.0,1.0,1.0,0.5,15,8,1,2,1,2,2,10,0.75,0.0,1.0,1,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-23476,True,1119,3073097,1.0,0.5,1.0,0.3333,18,9,5,3,2,3,3,12,0.6667,0.6,1.0,1,12,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-24026,True,1123,3098257,1.0,1.0,1.0,1.0,5,2,3,1,1,2,2,1,0.5,0.6667,1.0,0,1,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-24149,True,1120,3102985,1.0,1.0,1.0,0.3333,11,5,2,3,1,5,3,5,0.4,0.5,1.0,2,5,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-24177,True,1120,3103388,1.0,1.0,1.0,0.25,26,16,1,4,1,3,3,23,0.75,0.0,1.0,12,23,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-24570,True,1134,3112496,1.0,1.0,1.0,1.0,10,4,2,1,1,2,2,7,0.75,0.5,1.0,2,7,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-24627,True,1134,3112831,1.0,0.5,1.0,0.1667,102,64,2,6,2,3,3,98,0.9062,0.0,1.0,6,98,1
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-24637,True,1136,3116676,1.0,1.0,1.0,1.0,12,4,2,1,1,2,2,9,0.75,0.5,1.0,2,9,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-24870,True,1137,3126468,1.0,1.0,1.0,1.0,30,14,5,2,2,3,3,17,0.8571,0.6,1.0,2,17,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-24970,True,1131,3125824,1.0,1.0,1.0,1.0,9,3,2,1,1,3,2,4,0.6667,0.5,1.0,0,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-25122,True,1129,3129731,1.0,1.0,1.0,1.0,3,1,1,1,1,2,2,1,0.0,0.0,1.0,0,1,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-25287,True,1122,3133845,1.0,1.0,0.0,0.0,6,0,3,0,1,2,2,1,0.0,0.6667,0.0,,1,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-25311,False,1122,3134540,0.0,0.0,1.0,0.1,67,40,3,10,2,4,3,35,0.75,0.3333,0.0,9,,1
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-25332,True,1122,3134841,1.0,0.5,1.0,0.25,18,7,2,4,2,3,3,8,0.4286,0.0,1.0,7,8,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-25479,False,1198,3222025,0.5,0.5,1.0,0.5,20,11,2,4,2,3,3,10,0.6364,0.0,0.5,2,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-25775,True,1198,3226505,1.0,0.4286,1.0,0.2308,131,72,16,13,7,4,3,103,0.8194,0.5625,1.0,5,103,1
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-25960,True,1202,3239304,1.0,1.0,1.0,0.25,29,17,4,4,1,3,3,15,0.7647,0.75,1.0,1,15,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-26113,True,1200,3235440,1.0,1.0,1.0,1.0,7,2,3,1,1,3,3,2,0.5,0.6667,1.0,1,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-26208,False,1202,3240552,1.0,0.5,1.0,0.1429,101,66,3,7,2,4,3,90,0.8939,0.3333,1.0,7,90,1
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-26291,True,1202,3245912,1.0,1.0,1.0,0.3333,16,10,2,3,1,4,3,12,0.7,0.5,1.0,0,12,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-26342,True,1202,3248251,0.0,0.0,1.0,0.3333,26,15,2,3,2,2,2,23,0.8,0.0,0.0,5,,0
github-copilot-cli-claude-opus-4.6,swebench-verified,matplotlib__matplotlib-26466,False,1209,3261715,1.0,0.5,1.0,0.3333,31,12,6,3,2,3,2,11,0.75,0.6667,1.0,4,11,0
github-copilot-cli-claude-opus-4.6,swebench-verified,mwaskom__seaborn-3069,False,152,464968,1.0,1.0,1.0,0.2,103,63,7,5,1,4,2,84,0.9206,0.8571,1.0,6,84,1
github-copilot-cli-claude-opus-4.6,swebench-verified,mwaskom__seaborn-3187,True,154,471975,1.0,1.0,1.0,0.5,28,14,4,4,2,4,2,19,0.7143,0.5,1.0,0,19,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pallets__flask-5014,True,80,126338,1.0,0.5,1.0,0.5,18,6,3,2,2,3,2,14,0.6667,0.3333,1.0,1,14,0
github-copilot-cli-claude-opus-4.6,swebench-verified,psf__requests-1142,True,70,300486,1.0,1.0,1.0,0.5,9,5,1,2,1,1,1,3,0.6,0.0,1.0,2,3,0
github-copilot-cli-claude-opus-4.6,swebench-verified,psf__requests-1724,True,75,321215,0.0,0.0,0.0,0.0,6,2,1,1,1,1,1,3,0.5,0.0,0.0,,,0
github-copilot-cli-claude-opus-4.6,swebench-verified,psf__requests-1766,True,76,322349,1.0,1.0,1.0,1.0,6,2,1,1,1,1,1,2,0.5,0.0,1.0,1,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,psf__requests-1921,True,76,327580,1.0,1.0,1.0,1.0,7,2,2,1,1,1,1,3,0.5,0.5,1.0,2,3,0
github-copilot-cli-claude-opus-4.6,swebench-verified,psf__requests-2317,True,83,336048,1.0,1.0,1.0,0.3333,17,8,2,3,1,2,1,7,0.625,0.5,1.0,1,7,0
github-copilot-cli-claude-opus-4.6,swebench-verified,psf__requests-2931,False,84,348094,1.0,1.0,1.0,0.3333,7,3,1,3,1,1,1,3,0.0,0.0,1.0,1,3,0
github-copilot-cli-claude-opus-4.6,swebench-verified,psf__requests-5414,True,35,80595,1.0,1.0,1.0,1.0,10,3,2,1,1,1,1,4,0.6667,0.5,1.0,1,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,psf__requests-6028,False,35,80723,0.0,0.0,1.0,0.125,73,45,4,8,1,4,1,33,0.8222,0.75,0.0,9,,1
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-2905,True,154,846360,1.0,1.0,1.0,0.5,22,9,2,2,1,2,2,9,0.7778,0.5,1.0,1,9,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-3095,True,136,616673,0.5,1.0,1.0,1.0,7,2,1,2,1,2,2,5,0.0,0.0,0.5,2,5,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-3151,True,136,615416,1.0,0.5,1.0,0.5,20,9,3,2,2,3,2,10,0.7778,0.3333,1.0,3,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-3305,True,138,646203,1.0,1.0,1.0,0.2857,16,10,2,7,2,3,2,10,0.3,0.0,1.0,2,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-3677,True,145,722835,0.0,0.0,0.0,0.0,10,5,2,1,1,2,2,4,0.8,0.5,0.0,,,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-3993,True,154,838393,0.5,0.3333,1.0,0.3333,26,14,3,6,3,4,2,12,0.5714,0.0,0.5,2,12,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-4075,True,144,763296,1.0,0.5,1.0,0.5,10,6,2,2,2,3,2,4,0.6667,0.0,1.0,1,4,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-4094,True,145,772355,1.0,0.5,1.0,0.5,11,5,2,2,2,3,2,5,0.6,0.0,1.0,2,5,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-4356,True,147,799875,1.0,0.5,1.0,0.5,11,3,3,2,2,3,2,1,0.3333,0.3333,1.0,0,1,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-4629,True,151,825654,1.0,1.0,1.0,1.0,3,1,1,1,1,2,2,2,0.0,0.0,1.0,1,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-4687,True,168,1035923,1.0,0.5,1.0,0.25,25,11,5,4,2,3,2,13,0.6364,0.6,1.0,1,13,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-4695,True,152,827225,1.0,1.0,1.0,0.5,9,4,1,2,1,2,2,6,0.5,0.0,1.0,2,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-4966,True,155,852460,1.0,1.0,1.0,0.3333,15,9,2,3,1,3,2,11,0.6667,0.5,1.0,0,11,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-6461,True,168,1086205,1.0,1.0,1.0,0.5,19,8,1,2,1,2,2,13,0.75,0.0,1.0,1,13,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-6599,True,168,1090615,1.0,0.5,1.0,0.1667,21,12,3,6,2,3,2,5,0.5,0.3333,1.0,1,5,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-6721,True,169,1118160,1.0,1.0,1.0,0.2,23,14,1,5,1,2,2,19,0.6429,0.0,1.0,0,19,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-6744,True,170,1125510,1.0,1.0,1.0,1.0,13,7,1,1,1,2,2,11,0.8571,0.0,1.0,2,11,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-6938,False,173,1131606,0.5,0.5,1.0,0.6667,13,7,2,3,2,3,2,7,0.5714,0.0,0.5,1,7,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-6992,False,172,1136555,0.5,1.0,0.5,1.0,10,5,2,1,1,2,2,7,0.8,0.5,1.0,0,7,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-7229,False,176,1208195,1.0,0.5,1.0,0.3333,38,21,2,3,2,3,2,27,0.8571,0.0,1.0,2,27,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-7233,True,176,1199118,1.0,1.0,1.0,0.5,8,4,1,2,1,3,2,6,0.5,0.0,1.0,4,6,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pydata__xarray-7393,True,177,1213512,1.0,1.0,1.0,0.5,17,9,1,2,1,2,2,15,0.7778,0.0,1.0,10,15,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-4551,False,818,551483,0.25,0.25,1.0,0.4,61,22,6,10,4,6,2,22,0.5455,0.3333,0.25,6,51,1
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-4604,False,821,553254,0.5,0.3333,0.5,0.0833,110,59,3,12,3,9,4,33,0.7966,0.0,1.0,7,61,1
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-4661,False,840,568213,0.5,0.25,0.5,0.25,15,5,6,4,4,5,2,8,0.2,0.3333,1.0,3,8,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-4970,True,877,579706,1.0,1.0,1.0,1.0,18,10,3,1,1,2,2,12,0.9,0.6667,1.0,2,12,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-6386,True,1387,683640,0.25,0.3333,1.0,0.5714,24,14,4,7,3,5,2,19,0.5,0.25,0.25,4,19,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-6528,True,1451,701559,0.5,0.25,1.0,0.6667,36,15,7,3,4,6,3,19,0.8,0.4286,0.5,2,19,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-6903,True,1840,729653,1.0,1.0,1.0,0.5,7,3,1,2,1,3,2,2,0.3333,0.0,1.0,1,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-7080,False,1909,741847,0.0,0.0,1.0,0.25,33,14,2,4,2,7,3,28,0.7143,0.0,0.0,5,,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-7277,True,1924,749037,1.0,0.3333,1.0,0.3333,14,5,5,3,3,3,1,5,0.4,0.4,1.0,0,5,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pylint-dev__pylint-8898,False,2188,804609,0.3333,0.5,0.6667,0.6667,25,9,7,3,2,5,2,13,0.6667,0.7143,0.5,1,13,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pytest-dev__pytest-10051,True,254,604725,1.0,0.5,1.0,1.0,35,16,11,1,2,3,2,10,0.9375,0.8182,1.0,1,10,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pytest-dev__pytest-10081,True,254,604735,1.0,0.25,1.0,0.1111,62,31,5,9,4,9,3,48,0.7097,0.2,1.0,8,48,1
github-copilot-cli-claude-opus-4.6,swebench-verified,pytest-dev__pytest-10356,False,253,608907,1.0,0.2,1.0,0.2,33,15,7,5,5,6,3,9,0.6667,0.2857,1.0,3,9,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pytest-dev__pytest-5262,True,199,441300,1.0,0.5,1.0,0.3333,8,4,2,3,2,3,2,2,0.25,0.0,1.0,1,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pytest-dev__pytest-5631,True,211,439801,1.0,0.5,1.0,0.5,10,2,2,2,2,3,2,2,0.0,0.0,1.0,1,2,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pytest-dev__pytest-5787,False,212,445201,1.0,0.3333,1.0,0.1429,28,16,5,7,3,5,3,11,0.5625,0.4,1.0,2,11,0
github-copilot-cli-claude-opus-4.6,swebench-verified,pytest-dev__pytest-5809,True,200,449644,1.0,0.5,1.0,0.5,11,5,2,2,2,3,2,1,0.6,0.0,1.0,0,1,0
